Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	UniProtKB generic accession number (TrEMBL or SwissProt not differentiated) ID	Gene start (bp)	Gene end (bp)
YPL083C	YPL083C_mRNA	Q02825	A0A6A5Q708	396702	398105
YDR444W	YDR444W_mRNA	Q04093	A0A8H8UNY1	1350290	1352353
YDR444W	YDR444W_mRNA	Q04093	Q04093	1350290	1352353
YNL132W	YNL132W_mRNA	P53914	P53914	375321	378491
YPL048W	YPL048W_mRNA	P29547	A0A6A5Q735	464401	465648
YPL048W	YPL048W_mRNA	P29547	P29547	464401	465648
YEL030C-A	YEL030C-A_mRNA	Q8TGR5	Q8TGR5	94583	94897
YHR193C	YHR193C_mRNA	P38879	A0A6A5PY53	487712	488236
YHR193C	YHR193C_mRNA	P38879	P38879	487712	488236
YJR003C	YJR003C_mRNA	P47084	A0A8H4BYJ0	440994	442553
YJR003C	YJR003C_mRNA	P47084	P47084	440994	442553
YGR267C	YGR267C_mRNA	P51601	A0A6A5Q1E2	1025004	1025735
YGR267C	YGR267C_mRNA	P51601	P51601	1025004	1025735
YMR153W	YMR153W_mRNA	Q03790	A0A8H4BWQ1	564435	565862
YMR153W	YMR153W_mRNA	Q03790	Q03790	564435	565862
YPL120W	YPL120W_mRNA	Q02948	A0A8H4F846	322071	323744
YPL120W	YPL120W_mRNA	Q02948	Q02948	322071	323744
YLR434C	YLR434C_mRNA	O13576	O13576	1006025	1006408
YPL117C	YPL117C_mRNA	P15496	P15496	327864	328730
YPL117C	YPL117C_mRNA	P15496	A0A6A5Q2P4	327864	328730
YPR126C	YPR126C_mRNA	O13567	O13567	789077	789385
YGR234W	YGR234W_mRNA	P39676	P39676	959904	961103
YGR234W	YGR234W_mRNA	P39676	A0A8H8UKW7	959904	961103
YAR035C-A	YAR035C-A_mRNA	Q8TGV0	Q8TGV0	192337	192417
YAR035C-A	YAR035C-A_mRNA	Q8TGV0	A0A8H4FAT8	192337	192417
YBL078C	YBL078C_mRNA	P38182	P38182	80378	80731
YBL078C	YBL078C_mRNA	P38182	A0A6A5PZP1	80378	80731
YKL012W	YKL012W_mRNA	P33203	A0A8H4BYA2	418310	420061
YKL012W	YKL012W_mRNA	P33203	P33203	418310	420061
YDR341C	YDR341C_mRNA	Q05506	Q05506	1151803	1153626
YDR341C	YDR341C_mRNA	Q05506	A0A8H8UNN9	1151803	1153626
YJL116C	YJL116C_mRNA	P46955	P46955	193860	194873
YJL116C	YJL116C_mRNA	P46955	A0A6A5PUU3	193860	194873
YFL013W-A	YFL013W-A_mRNA	Q03187	Q03187	107799	108602
YPR091C	YPR091C_mRNA	Q06833	Q06833	716156	718468
YPR091C	YPR091C_mRNA	Q06833	A0A8H4BU67	716156	718468
YGL251C	YGL251C_mRNA	P51979	P51979	27921	31636
YEL014C	YEL014C_mRNA	P39999	P39999	128303	128608
YEL014C	YEL014C_mRNA	P39999	A0A8H8ULK1	128303	128608
YGL141W	YGL141W_mRNA	P53119	P53119	238353	241085
YGL141W	YGL141W_mRNA	P53119	A0A8H4C176	238353	241085
YFL063W	YFL063W_mRNA	P43541	P43541	5066	5521
YPR059C	YPR059C_mRNA	P0C5E1	P0C5E1	674314	674700
YAL068C	YAL068C_mRNA	P0CE93	Q3E770	1807	2169
YAL068C	YAL068C_mRNA	P0CE93	P0CE93	1807	2169
YAL068C	YAL068C_mRNA	P0CE93	P0CE92	1807	2169
YAL068C	YAL068C_mRNA	P0CE93	A0A6A5PWB8	1807	2169
YAL068C	YAL068C_mRNA	P0CE92	Q3E770	1807	2169
YAL068C	YAL068C_mRNA	P0CE92	P0CE93	1807	2169
YAL068C	YAL068C_mRNA	P0CE92	P0CE92	1807	2169
YAL068C	YAL068C_mRNA	P0CE92	A0A6A5PWB8	1807	2169
YAL068C	YAL068C_mRNA	Q3E770	Q3E770	1807	2169
YAL068C	YAL068C_mRNA	Q3E770	P0CE93	1807	2169
YAL068C	YAL068C_mRNA	Q3E770	P0CE92	1807	2169
YAL068C	YAL068C_mRNA	Q3E770	A0A6A5PWB8	1807	2169
YDR154C	YDR154C_mRNA	A0A023PZA4	A0A023PZA4	768403	768753
YBR037C	YBR037C_mRNA	P23833	P23833	310565	311452
YBR037C	YBR037C_mRNA	P23833	A0A8H4BT07	310565	311452
YDR464W	YDR464W_mRNA	P38904	P38904	1388872	1393179
YDR464W	YDR464W_mRNA	P38904	A0A8H8UNZ8	1388872	1393179
YGL245W	YGL245W_mRNA	P46655	P46655	39023	41149
YGL245W	YGL245W_mRNA	P46655	A0A8H4C137	39023	41149
YFR025C	YFR025C_mRNA	P38635	P38635	203743	204750
YFR025C	YFR025C_mRNA	P38635	A0A8H8ULA7	203743	204750
YGL007W	YGL007W_mRNA	P53194	P53194	483260	483637
YGL007W	YGL007W_mRNA	P53194	A0A8H4C1G8	483260	483637
YPL214C	YPL214C_mRNA	P41835	A0A6A5Q5W5	148569	150191
YPL214C	YPL214C_mRNA	P41835	P41835	148569	150191
YLL039C	YLL039C_mRNA	P0CG63	A0A8H4BZ78	64062	65207
YLL039C	YLL039C_mRNA	P0CG63	P0CG63	64062	65207
YER156C	YER156C_mRNA	P40093	A0A8H8UM20	483325	484341
YER156C	YER156C_mRNA	P40093	P40093	483325	484341
YBR015C	YBR015C_mRNA	P38069	P38069	267710	269503
YOR161W-B	YOR161W-B_mRNA	Q8TGL4	Q8TGL4	637975	638235
YDR132C	YDR132C_mRNA	Q03900	Q03900	718816	720303
YDR132C	YDR132C_mRNA	Q03900	A0A8H8UN45	718816	720303
YGL005C	YGL005C_mRNA	P53195	P53195	489708	490547
YLR149C	YLR149C_mRNA	Q99296	A0A8H4F8F3	437631	439823
YLR149C	YLR149C_mRNA	Q99296	Q99296	437631	439823
YDL210W	YDL210W_mRNA	P32837	A0A8H8UM91	84270	85985
YDL210W	YDL210W_mRNA	P32837	P32837	84270	85985
YIL041W	YIL041W_mRNA	P40531	P40531	276525	277505
YIL041W	YIL041W_mRNA	P40531	A0A6A5PZT1	276525	277505
YPL203W	YPL203W_mRNA	P06245	A0A8H4F6N8	166256	167398
YPL203W	YPL203W_mRNA	P06245	P06245	166256	167398
YMR056C	YMR056C_mRNA	P04710	P04710	387315	388244
YMR056C	YMR056C_mRNA	P04710	A0A6L0YHN4	387315	388244
YMR282C	YMR282C_mRNA	P22136	P22136	833356	835098
YMR282C	YMR282C_mRNA	P22136	A0A8H4F880	833356	835098
YDR395W	YDR395W_mRNA	Q04175	Q04175	1263324	1266158
YHR030C	YHR030C_mRNA	Q00772	Q00772	168890	170344
YHR030C	YHR030C_mRNA	Q00772	A0A8H4BZM4	168890	170344
YLR208W	YLR208W_mRNA	Q04491	A0A6A5PUS3	559551	560444
YLR208W	YLR208W_mRNA	Q04491	Q04491	559551	560444
YFL025C	YFL025C_mRNA	P43571	P43571	84145	87234
YFL025C	YFL025C_mRNA	P43571	A0A8H8UL57	84145	87234
YAR042W	YAR042W_mRNA	P35845	P35845	192619	196185
YAR042W	YAR042W_mRNA	P35845	A0A8H4FAZ2	192619	196185
YPL273W	YPL273W_mRNA	Q08985	Q08985	25087	26064
YPL273W	YPL273W_mRNA	Q08985	A0A6L0YK02	25087	26064
YDL222C	YDL222C_mRNA	Q07651	Q07651	60872	61801
YDL222C	YDL222C_mRNA	Q07651	A0A8H8UM81	60872	61801
YIL087C	YIL087C_mRNA	P40502	P40502	199646	200119
YIL087C	YIL087C_mRNA	P40502	A0A6A5PZV2	199646	200119
YNR027W	YNR027W_mRNA	P53727	A0A8H4BWU5	674923	675876
YNR027W	YNR027W_mRNA	P53727	P53727	674923	675876
YCR095C	YCR095C_mRNA	P25366	A0A8H4F682	288170	289258
YCR095C	YCR095C_mRNA	P25366	P25366	288170	289258
YER162C	YER162C_mRNA	P14736	A0A8H8UM25	500630	502894
YER162C	YER162C_mRNA	P14736	P14736	500630	502894
YER090W	YER090W_mRNA	P00899	P00899	337949	339472
YER090W	YER090W_mRNA	P00899	A0A8H8ULV8	337949	339472
YGL215W	YGL215W_mRNA	P35190	P35190	87981	89339
YGL215W	YGL215W_mRNA	P35190	A0A8H4F9S1	87981	89339
YBR016W	YBR016W_mRNA	P38216	P38216	270247	270633
YGR173W	YGR173W_mRNA	P53295	P53295	843854	844960
YGR173W	YGR173W_mRNA	P53295	A0A6A5PW70	843854	844960
YDR372C	YDR372C_mRNA	Q06385	A0A8H8UNR8	1221112	1222149
YDR372C	YDR372C_mRNA	Q06385	Q06385	1221112	1222149
YJL053W	YJL053W_mRNA	P40335	P40335	335898	337037
YJL053W	YJL053W_mRNA	P40335	A0A6A5PWQ0	335898	337037
YGL249W	YGL249W_mRNA	P53061	P53061	33098	35212
YGL249W	YGL249W_mRNA	P53061	A0A8H4F9R1	33098	35212
YHL050C	YHL050C_mRNA	P38721	P38721	445	3311
YDR325W	YDR325W_mRNA	Q06680	A0A8H8UNM5	1117126	1120233
YDR325W	YDR325W_mRNA	Q06680	Q06680	1117126	1120233
YLR115W	YLR115W_mRNA	Q12102	A0A8H4F8L9	377985	380564
YLR115W	YLR115W_mRNA	Q12102	Q12102	377985	380564
YKL106W	YKL106W_mRNA	Q01802	A0A6A5PSA1	237536	238891
YKL106W	YKL106W_mRNA	Q01802	Q01802	237536	238891
YNL083W	YNL083W_mRNA			471377	472861
YGR161W-C	YGR161W-C_mRNA	Q3E744	Q3E744	810227	810505
YGR161W-C	YGR161W-C_mRNA	Q3E744	A0A6A5PX89	810227	810505
YCR068W	YCR068W_mRNA	P25641	P25641	237214	238776
YCR068W	YCR068W_mRNA	P25641	A0A8H4BUX8	237214	238776
YDR216W	YDR216W_mRNA	P07248	P07248	895035	899006
YDR216W	YDR216W_mRNA	P07248	A0A8H8UNC3	895035	899006
YBL107W-A	YBL107W-A_mRNA	Q6B113	Q6B113	9268	9372
YJL124C	YJL124C_mRNA	P47017	A0A6A5PUB5	187126	187644
YJL124C	YJL124C_mRNA	P47017	P47017	187126	187644
YDR082W	YDR082W_mRNA	P38960	A0A8H8UMZ9	610441	611925
YDR082W	YDR082W_mRNA	P38960	P38960	610441	611925
YLR005W	YLR005W_mRNA	Q04673	A0A6L0ZMK2	160049	161434
YLR005W	YLR005W_mRNA	Q04673	Q04673	160049	161434
YGR229C	YGR229C_mRNA	P32566	A0A8H8UKW2	949382	950899
YGR229C	YGR229C_mRNA	P32566	P32566	949382	950899
YFR054C	YFR054C_mRNA	P43622	P43622	258855	259433
YHR162W	YHR162W_mRNA	P38857	A0A6A5PUZ3	423072	423461
YHR162W	YHR162W_mRNA	P38857	P38857	423072	423461
YDL224C	YDL224C_mRNA	Q07655	Q07655	54397	56346
YDL224C	YDL224C_mRNA	Q07655	A0A6A5PWW4	54397	56346
YJR104C	YJR104C_mRNA	P00445	A0A6A5PWL4	622550	623014
YJR104C	YJR104C_mRNA	P00445	P00445	622550	623014
YLR147C	YLR147C_mRNA	P43321	P43321	434158	434463
YLR147C	YLR147C_mRNA	P43321	A0A6A5Q3H8	434158	434463
YDR498C	YDR498C_mRNA	P28791	A0A8H8UP28	1445843	1446994
YDR498C	YDR498C_mRNA	P28791	P28791	1445843	1446994
YPR081C	YPR081C_mRNA	Q06817	A0A8H4F8A8	702114	703970
YPR081C	YPR081C_mRNA	Q06817	Q06817	702114	703970
YER074W-A	YER074W-A_mRNA	Q3E834	Q3E834	307653	308123
YOR136W	YOR136W_mRNA	P28241	P28241	580250	581359
YOR136W	YOR136W_mRNA	P28241	A0A6A5Q6Y2	580250	581359
YDR010C	YDR010C_mRNA	Q12426	Q12426	465051	465383
YDR010C	YDR010C_mRNA	Q12426	A0A8H8UMT0	465051	465383
YGR070W	YGR070W_mRNA	P53046	P53046	627806	631273
YGR070W	YGR070W_mRNA	P53046	A0A8H4FBP0	627806	631273
YLR076C	YLR076C_mRNA	Q08018	Q08018	283185	283607
YCL017C	YCL017C_mRNA	P25374	P25374	92777	94270
YDR006C	YDR006C_mRNA	P40317	P40317	458542	461247
YDR006C	YDR006C_mRNA	P40317	A0A8H8UMS7	458542	461247
YER041W	YER041W_mRNA	P40028	A0A8H8ULQ5	232461	234740
YER041W	YER041W_mRNA	P40028	P40028	232461	234740
YLR162W	YLR162W_mRNA	Q06235	Q06235	489573	489929
YGR135W	YGR135W_mRNA	P23638	A0A6A5PXC6	761392	762168
YGR135W	YGR135W_mRNA	P23638	P23638	761392	762168
YHR089C	YHR089C_mRNA	P28007	A0A8H4BZR1	282681	283298
YHR089C	YHR089C_mRNA	P28007	P28007	282681	283298
YBL071W-A	YBL071W-A_mRNA	Q3E840	Q3E840	89978	90226
YBL071W-A	YBL071W-A_mRNA	Q3E840	A0A8H4F696	89978	90226
YLR451W	YLR451W_mRNA	P08638	P08638	1036093	1038753
YLR451W	YLR451W_mRNA	P08638	A0A8H4BZW8	1036093	1038753
YBR269C	YBR269C_mRNA	P38345	P38345	742160	742576
YBR269C	YBR269C_mRNA	P38345	A0A6A5Q4F6	742160	742576
YDR182W	YDR182W_mRNA	P40986	P40986	827582	829057
YDR182W	YDR182W_mRNA	P40986	A0A6L0YS71	827582	829057
YJL105W	YJL105W_mRNA	P42948	A0A8H4FAI3	225055	226737
YJL105W	YJL105W_mRNA	P42948	P42948	225055	226737
YGL014C-A	YGL014C-A_mRNA	P0C5N1	P0C5N1	466237	466398
YNL013C	YNL013C_mRNA	P53979	P53979	609133	609510
YPL011C	YPL011C_mRNA	Q12297	Q12297	533642	534703
YPL011C	YPL011C_mRNA	Q12297	A0A6A5Q182	533642	534703
YLR212C	YLR212C_mRNA	P53378	A0A8H4BZN3	564860	566281
YLR212C	YLR212C_mRNA	P53378	P53378	564860	566281
YLR454W	YLR454W_mRNA	Q06179	A0A8H4BXN5	1043998	1051884
YLR454W	YLR454W_mRNA	Q06179	Q06179	1043998	1051884
YMR234W	YMR234W_mRNA	Q04740	Q04740	740266	741312
YMR234W	YMR234W_mRNA	Q04740	A0A8H4BYX7	740266	741312
YJL215C	YJL215C_mRNA	P40895	P40895	26412	26771
YCL058C	YCL058C_mRNA	P25585	A0A8H4F906	23523	23981
YCL058C	YCL058C_mRNA	P25585	P25585	23523	23981
YDL102W	YDL102W_mRNA	P15436	A0A6L0YQ40	276872	280165
YDL102W	YDL102W_mRNA	P15436	P15436	276872	280165
YKR075C	YKR075C_mRNA	P36155	P36155	579827	580750
YKR075C	YKR075C_mRNA	P36155	A0A8H4BY49	579827	580750
YBR266C	YBR266C_mRNA		P38343	739936	740388
YDL179W	YDL179W_mRNA	Q12477	Q12477	138291	139205
YDL179W	YDL179W_mRNA	Q12477	A0A6A5PWZ8	138291	139205
YJR070C	YJR070C_mRNA	P47120	P47120	569621	570598
YJR070C	YJR070C_mRNA	P47120	A0A6A5PWI6	569621	570598
YMR323W	YMR323W_mRNA	P42222	A0A6A5PQB2	920088	921401
YMR323W	YMR323W_mRNA	P42222	P42222	920088	921401
YPR097W	YPR097W_mRNA	Q06839	A0A8H4F6X8	725394	728615
YPR097W	YPR097W_mRNA	Q06839	Q06839	725394	728615
YOR192C-C	YOR192C-C_mRNA	Q3E736	A0A8H4F7C1	703988	704224
YOR192C-C	YOR192C-C_mRNA	Q3E736	Q3E736	703988	704224
YJR097W	YJR097W_mRNA	P47138	P47138	612413	612931
YJR097W	YJR097W_mRNA	P47138	A0A6A5PT52	612413	612931
YER165C-A	YER165C-A_mRNA	A0A023PZH1	A0A023PZH1	512627	512983
YNL164C	YNL164C_mRNA	P53892	A0A8H4F7M4	325265	326320
YNL164C	YNL164C_mRNA	P53892	P53892	325265	326320
YOR205C	YOR205C_mRNA	Q08622	A0A8H4BV11	725564	727234
YOR205C	YOR205C_mRNA	Q08622	Q08622	725564	727234
YJL126W	YJL126W_mRNA	P47016	P47016	184501	185424
YJL126W	YJL126W_mRNA	P47016	A0A8H4F905	184501	185424
YER097W	YER097W_mRNA	P40062	P40062	355140	355469
YNL274C	YNL274C_mRNA	P53839	P53839	121118	122170
YNL274C	YNL274C_mRNA	P53839	A0A8H4BXK5	121118	122170
YJL214W	YJL214W_mRNA	P40886	P40886	26887	28596
YJL214W	YJL214W_mRNA	P40886	A0A8H4F8Y3	26887	28596
YJL166W	YJL166W_mRNA	P08525	P08525	106434	106718
YJL166W	YJL166W_mRNA	P08525	A0A6A5PU80	106434	106718
YCL014W	YCL014W_mRNA	P25558	P25558	96281	101191
YJL023C	YJL023C_mRNA	P47065	P47065	397355	398398
YJL023C	YJL023C_mRNA	P47065	A0A8H4C119	397355	398398
YMR062C	YMR062C_mRNA	Q04728	A0A6A5PPK7	395054	396379
YMR062C	YMR062C_mRNA	Q04728	Q04728	395054	396379
YMR247W-A	YMR247W-A_mRNA	Q3E782	Q3E782	769283	769426
YMR247W-A	YMR247W-A_mRNA	Q3E782	A0A8H4BWP7	769283	769426
YFR033C	YFR033C_mRNA	P00127	P00127	224326	224769
YFR033C	YFR033C_mRNA	P00127	A0A8H8ULB7	224326	224769
YMR038C	YMR038C_mRNA	P40202	P40202	347511	348260
YMR038C	YMR038C_mRNA	P40202	A0A8H4BYN4	347511	348260
YGR225W	YGR225W_mRNA	P50082	P50082	945145	947019
YJL094C	YJL094C_mRNA	P40309	P40309	251821	254442
YJL094C	YJL094C_mRNA	P40309	A0A8H4C014	251821	254442
YBR055C	YBR055C_mRNA	P19735	P19735	344602	347301
YBR055C	YBR055C_mRNA	P19735	A0A8H4BV52	344602	347301
YGL258W	YGL258W_mRNA	P53058	A0A8H4C101	11110	11730
YGL258W	YGL258W_mRNA	P53058	P53058	11110	11730
YMR049C	YMR049C_mRNA	Q04660	A0A8H4F876	368094	370517
YMR049C	YMR049C_mRNA	Q04660	Q04660	368094	370517
YDL067C	YDL067C_mRNA	P07255	P07255	334217	334396
YDL067C	YDL067C_mRNA	P07255	A0A8H8UML6	334217	334396
YLR437C-A	YLR437C-A_mRNA	Q8TGR0	Q8TGR0	1012459	1012686
YPL274W	YPL274W_mRNA	Q08986	A0A8H4BVL5	22938	24701
YPL274W	YPL274W_mRNA	Q08986	Q08986	22938	24701
YDR030C	YDR030C_mRNA	Q12021	A0A8H8UMU8	501753	503273
YDR030C	YDR030C_mRNA	Q12021	Q12021	501753	503273
YIR036C	YIR036C_mRNA	P40580	A0A8H4C1T1	422074	422865
YIR036C	YIR036C_mRNA	P40580	P40580	422074	422865
YMR272W-B	YMR272W-B_mRNA	Q8TGS5	Q8TGS5	811089	811196
YMR272W-B	YMR272W-B_mRNA	Q8TGS5	A0A8H4BZ27	811089	811196
YPR158W	YPR158W_mRNA	Q06469	Q06469	843262	844020
YPR158W	YPR158W_mRNA	Q06469	A0A8H4BU98	843262	844020
YHL005C	YHL005C_mRNA	P38752	A0A8H4FB82	98828	99220
YHL005C	YHL005C_mRNA	P38752	P38752	98828	99220
YDR020C	YDR020C_mRNA	Q12084	Q12084	485746	486444
YDR020C	YDR020C_mRNA	Q12084	A0A6A5PXF3	485746	486444
YMR147W	YMR147W_mRNA	P40218	A0A8H4FBA0	559199	559870
YML067C	YML067C_mRNA	Q04651	Q04651	139063	140214
YBR088C	YBR088C_mRNA	P15873	P15873	424990	425766
YBR088C	YBR088C_mRNA	P15873	A0A6B7JGY6	424990	425766
YHR010W	YHR010W_mRNA	P0C2H6	P0C2H6	126521	127492
YGL139W	YGL139W_mRNA	P53121	P53121	245716	248124
YGL139W	YGL139W_mRNA	P53121	A0A8H4C2G6	245716	248124
YPL050C	YPL050C_mRNA	P39107	A0A8H4BU83	460779	461966
YPL050C	YPL050C_mRNA	P39107	P39107	460779	461966
YJR054W	YJR054W_mRNA	P47114	P47114	536056	537549
YKR065C	YKR065C_mRNA	P36147	A0A6L1BD70	565299	565892
YKR065C	YKR065C_mRNA	P36147	P36147	565299	565892
YPR114W	YPR114W_mRNA	Q06107	Q06107	753301	754248
YPR114W	YPR114W_mRNA	Q06107	A0A8H4F9Y1	753301	754248
YHR079C-A	YHR079C-A_mRNA	P89114	P89114	262192	262553
YHR212C	YHR212C_mRNA	P0CX88	P0CX89	537759	538094
YHR212C	YHR212C_mRNA	P0CX88	P0CX88	537759	538094
YHR212C	YHR212C_mRNA	P0CX89	P0CX89	537759	538094
YHR212C	YHR212C_mRNA	P0CX89	P0CX88	537759	538094
YOR200W	YOR200W_mRNA	Q08620	Q08620	720417	720815
YER112W	YER112W_mRNA	P40070	A0A8H8ULX7	387232	387795
YER112W	YER112W_mRNA	P40070	P40070	387232	387795
YGL172W	YGL172W_mRNA	Q02199	Q02199	180700	182118
YGL172W	YGL172W_mRNA	Q02199	A0A8H4C001	180700	182118
YDR527W	YDR527W_mRNA	Q04418	Q04418	1491094	1492413
YDR527W	YDR527W_mRNA	Q04418	A0A8H8UP56	1491094	1492413
YPL110C	YPL110C_mRNA	Q02979	Q02979	341068	344739
YKL043W	YKL043W_mRNA	P36093	A0A6A5PWD7	356748	357848
YKL043W	YKL043W_mRNA	P36093	P36093	356748	357848
YNL176C	YNL176C_mRNA	P53882	A0A8H4BVW4	305070	306980
YNL176C	YNL176C_mRNA	P53882	P53882	305070	306980
YBL019W	YBL019W_mRNA	P38207	P38207	184353	185915
YIL122W	YIL122W_mRNA	P40473	A0A8H4C0R4	130610	131665
YIL122W	YIL122W_mRNA	P40473	P40473	130610	131665
YKL045W	YKL045W_mRNA	P20457	A0A6A5PVV0	353493	355079
YKL045W	YKL045W_mRNA	P20457	P20457	353493	355079
YDR333C	YDR333C_mRNA	Q05468	A0A8H8UNN2	1133260	1135431
YDR333C	YDR333C_mRNA	Q05468	Q05468	1133260	1135431
YCL050C	YCL050C_mRNA	P16550	P16550	37836	38801
YCL050C	YCL050C_mRNA	P16550	A0A6A5Q014	37836	38801
YHR005C	YHR005C_mRNA	P08539	P08539	113499	114917
YHR005C	YHR005C_mRNA	P08539	A0A8H4C1X0	113499	114917
YHR187W	YHR187W_mRNA	P38874	P38874	480990	481919
YHR187W	YHR187W_mRNA	P38874	A0A8H4BZS4	480990	481919
YCR067C	YCR067C_mRNA	P25365	P25365	233125	236322
YCR067C	YCR067C_mRNA	P25365	A0A8H4BTP2	233125	236322
YCR047C	YCR047C_mRNA	P25627	P25627	210718	211545
YCR047C	YCR047C_mRNA	P25627	A0A6A5Q5M3	210718	211545
YBR112C	YBR112C_mRNA	P14922	P14922	462870	465770
YBR112C	YBR112C_mRNA	P14922	A0A8H4F9D3	462870	465770
YGR088W	YGR088W_mRNA	P06115	P06115	654634	656322
YGR088W	YGR088W_mRNA	P06115	A0A8H4C2Y4	654634	656322
YGL126W	YGL126W_mRNA	P53012	A0A8H4C2L5	270997	272139
YGL126W	YGL126W_mRNA	P53012	P53012	270997	272139
YOR305W	YOR305W_mRNA	Q08774	Q08774	889022	889750
YOR305W	YOR305W_mRNA	Q08774	A0A6A5Q343	889022	889750
YGR140W	YGR140W_mRNA	P32504	P32504	767429	770299
YGR140W	YGR140W_mRNA	P32504	A0A8H4C1R6	767429	770299
YBR164C	YBR164C_mRNA	P38116	P38116	567875	568426
YBR164C	YBR164C_mRNA	P38116	A0A6A5Q067	567875	568426
YBR148W	YBR148W_mRNA	P38280	P38280	537876	539705
YBR148W	YBR148W_mRNA	P38280	A0A8H4F7Y1	537876	539705
YJR141W	YJR141W_mRNA	P47172	A0A8H4F9H4	695906	696949
YJR141W	YJR141W_mRNA	P47172	P47172	695906	696949
YNR061C	YNR061C_mRNA	P53747	A0A8H4BY64	742881	743540
YNR061C	YNR061C_mRNA	P53747	P53747	742881	743540
YKR060W	YKR060W_mRNA	P36144	A0A8H4BY40	556518	557342
YKR060W	YKR060W_mRNA	P36144	P36144	556518	557342
YGR129W	YGR129W_mRNA	P53277	A0A8H4C2D9	750400	751047
YGR129W	YGR129W_mRNA	P53277	P53277	750400	751047
YER090C-A	YER090C-A_mRNA	P0C5M8	P0C5M8	338322	338411
YER067C-A	YER067C-A_mRNA	A0A023PYE4	A0A023PYE4	292240	292563
YBL020W	YBL020W_mRNA	P38206	P38206	182401	184125
YBL020W	YBL020W_mRNA	P38206	A0A6A5Q0R6	182401	184125
YBR208C	YBR208C_mRNA	P32528	P32528	636703	642210
YBR208C	YBR208C_mRNA	P32528	A0A8H4F7W2	636703	642210
YNL303W	YNL303W_mRNA	P53827	P53827	61510	61857
YGL027C	YGL027C_mRNA	P53008	A0A8H4FBG8	443642	446143
YGL027C	YGL027C_mRNA	P53008	P53008	443642	446143
YNR035C	YNR035C_mRNA	P53731	P53731	693019	694047
YNR035C	YNR035C_mRNA	P53731	A0A6A5Q8J4	693019	694047
YDL093W	YDL093W_mRNA	P52867	P52867	289909	292140
YDL093W	YDL093W_mRNA	P52867	A0A8H8UMJ5	289909	292140
YML107C	YML107C_mRNA	Q03760	A0A8H4BW20	55265	56269
YML107C	YML107C_mRNA	Q03760	Q03760	55265	56269
YOR195W	YOR195W_mRNA	Q08581	A0A8H4F8U9	712866	715331
YOR195W	YOR195W_mRNA	Q08581	Q08581	712866	715331
YGL231C	YGL231C_mRNA	P53073	A0A6A5PV77	63048	63620
YGL231C	YGL231C_mRNA	P53073	P53073	63048	63620
YFR031C	YFR031C_mRNA	P38989	A0A8H8ULB3	216594	220106
YFR031C	YFR031C_mRNA	P38989	P38989	216594	220106
YDL043C	YDL043C_mRNA	Q07350	A0A8H8UMN8	375680	376480
YDL043C	YDL043C_mRNA	Q07350	Q07350	375680	376480
YER174C	YER174C_mRNA	P32642	P32642	538434	539168
YER174C	YER174C_mRNA	P32642	A0A8H8UM37	538434	539168
YER107W-A	YER107W-A_mRNA	A0A023PXJ7	A0A023PXJ7	374394	374714
YLR064W	YLR064W_mRNA	Q12144	Q12144	265456	266277
YLR064W	YLR064W_mRNA	Q12144	A0A6L0YFV7	265456	266277
YLR132C	YLR132C_mRNA	Q12208	A0A8H4BYL6	407283	408155
YLR132C	YLR132C_mRNA	Q12208	Q12208	407283	408155
YHR183W	YHR183W_mRNA	P38720	P38720	470960	472429
YHR183W	YHR183W_mRNA	P38720	A0A6A5PY45	470960	472429
YGL019W	YGL019W_mRNA	P43639	P43639	458156	458992
YGL019W	YGL019W_mRNA	P43639	A0A6A5PY91	458156	458992
YDR139C	YDR139C_mRNA	Q03919	Q03919	733618	733924
YJL191W	YJL191W_mRNA	P39516	P39516	73787	74611
YLR182W	YLR182W_mRNA	P09959	A0A8H4BZK4	517940	520351
YLR182W	YLR182W_mRNA	P09959	P09959	517940	520351
YNL160W	YNL160W_mRNA	P38616	P38616	336545	337609
YNL160W	YNL160W_mRNA	P38616	A0A8H4BWL1	336545	337609
YCR044C	YCR044C_mRNA	P25625	P25625	206877	207950
YCR044C	YCR044C_mRNA	P25625	A0A8H4F7J3	206877	207950
YLR038C	YLR038C_mRNA	Q01519	A0A6A5PU81	224921	225172
YLR038C	YLR038C_mRNA	Q01519	Q01519	224921	225172
YHR205W	YHR205W_mRNA	P11792	P11792	509363	511837
YHR205W	YHR205W_mRNA	P11792	A0A8H4F9Z5	509363	511837
YCR026C	YCR026C_mRNA	P25353	P25353	164111	166339
YCR026C	YCR026C_mRNA	P25353	A0A8H4F7P0	164111	166339
YOL123W	YOL123W_mRNA	Q99383	A0A6A5Q1Z1	87844	89448
YOL123W	YOL123W_mRNA	Q99383	Q99383	87844	89448
YFL021C-A	YFL021C-A_mRNA	A0A023PXK7	A0A023PXK7	95761	96615
YDR322C-A	YDR322C-A_mRNA	P81449	A0A6A5PYY3	1112003	1112293
YDR322C-A	YDR322C-A_mRNA	P81449	P81449	1112003	1112293
YGR017W	YGR017W_mRNA	P53210	A0A8H4FA78	523787	524680
YGR017W	YGR017W_mRNA	P53210	P53210	523787	524680
YPL161C	YPL161C_mRNA	P39011	A0A8H4BVT6	244319	246220
YPL161C	YPL161C_mRNA	P39011	P39011	244319	246220
YLR107W	YLR107W_mRNA	Q12090	Q12090	364116	365330
